Year,Carbon Monoxide,Nitrogen Oxide (NOx),Sulfur Dioxide (SO2)
2000,114.4666332,22.59843359,16.34699817
2001,106.2623274,21.54851071,15.93165564
2002,102.0328477,23.95876051,15.03206497
2003,99.59269794,22.65057624,14.80794402
2004,97.1471535,21.33113976,14.571443
2005,88.54588955,20.35476445,14.54574848
2006,85.83709915,19.22700009,13.12255603
2007,83.12830875,18.09923574,11.69936358
2008,79.65508913,16.90935917,10.32365786
2009,72.7525247,15.77170526,9.089237659
2010,73.77104947,14.84645359,7.732208415
2011,73.76157406,14.51891357,6.478839167
2012,71.79452648,13.88084596,5.07947666
2013,69.8274789,13.24277835,4.873785761
2014,65.64602906,12.59552556,4.675007917
2015,64.57067701,11.84910919,3.685351672
2016,61.95499471,11.31041033,2.960899986
2017,60.10947753,10.77586078,2.815124581
