State,Value
connecticut,16.65
massachusetts,15.41
new york,15.32
new hampshire,15.08
rhode island,15.02
california,14.72
vermont,14.45
new jersey,13.69
maine,12.39
district of columbia,11.94
maryland,11.88
delaware,11.1
michigan,11
wisconsin,10.55
florida,10.35
pennsylvania,10.26
arizona,10.15
kansas,9.97
colorado,9.82
georgia,9.66
ohio,9.57
south carolina,9.48
minnesota,9.46
new mexico,9.29
alabama,9.27
tennessee,9.27
north carolina,9.26
missouri,9.24
south dakota,9.14
nevada,9.12
virginia,9.12
mississippi,9.1
nebraska,8.98
illinois,8.97
indiana,8.86
texas,8.66
montana,8.63
oregon,8.58
north dakota,8.43
utah,8.32
iowa,8.17
west virginia,8.16
arkansas,7.95
kentucky,7.93
oklahoma,7.86
wyoming,7.73
idaho,7.72
louisiana,7.63
washington,7.25
