State,Value
Alaska,14.05
Washington,12.79
Maine,11.55
New Jersey,11.55
New Hampshire,11.45
Massachusetts,10.95
Rhode Island,10.86
Connecticut,10.55
Vermont,9.74
Wyoming,9.26
New York,8.01
Montana,7.86
Delaware,7.4
Oklahoma,7.38
Nevada,7.16
Tennessee,7.07
Indiana,6.97
Arkansas,6.96
South Dakota,6.68
Michigan,6.62
Georgia,6.6
Maryland,6.58
Idaho,6.48
Pennsylvania,6.46
Texas,6.44
Florida,6.39
North Dakota,6.35
Kentucky,6.26
Iowa,6.24
South Carolina,6.18
Louisiana,6.1
Ohio,6.08
Minnesota,6.03
Arizona,6.02
Wisconsin,5.99
Kansas,5.97
North Carolina,5.77
Mississippi,5.59
Nebraska,5.48
California,5.44
Missouri,5.39
Oregon,5.34
West Virginia,5.33
Illinois,5.3
New Mexico,5.21
Virginia,5.07
Colorado,4.92
Utah,4.46
Alabama,4.24
Hawaii,
